"	State",Hub Size,Airport Name,LOC_ID,FYE,Date Filed,Passenger airline landing fees,Landing Fee (from Obsolete form FAA-5100-127),Terminal arrival fees - rents - utilities,Terminal/International arrival area rental or other charge (form Obsolete form FAA-5100-127), Terminal area apron charges/tiedowns,Federal Inspection Fees,Other passenger aeronautical fees,Total Passenger Airline Aeronautical Revenue,Landing fees from cargo,Landing fees from GA and military, FBO revenue - contract or sponsor-operated,Cargo and hangar rentals,Aviation fuel tax retained for airport use,Fuel sales net profit/loss or fuel flowage fees,Security reimbursement from Federal Government,Other non-passenger aeronautical revenue,Total Non-Passenger Aeronautical Revenue,Total Aeronautical Revenue,Land and non-terminal facility leases and revenues,Terminal-food and beverage,Terminal-retail stores and duty free,Terminal-services and other,Rental cars-excludes customer facility charges,Parking and ground transportation,Hotel,Other Non-Aeronautical Revenue,Total Non-Aeronautical Revenue,Total Operating Revenue,Personnel compensation and benefits,Communications and utilities,Supplies and materials,Contractual services,Insurance claims and settlements,Other Operating Expenses,Subtotal - Operating Expenses,Depreciation,Total Operating Expenses,Operating Income,Interest Income,Interest expense,Grant receipts,Passenger Facility Charges,Capital Contributions,Special items (loss),Other Non-Operating Revenue,Total Non-Operating Revenue,Change in net assets,Net assets (deficit) at beginning of year,Net assets (deficit) at end of year,Airfield,Terminal,Parking,Roadways - Rail - Transit,Other Capital Expenditures,Total Capital Expenditures,Long Term Bonds,Loans and interim financing,Special facility bonds,Total Debt at End of Year,Restricted debt reserves,Restrictions for renewals and replacements,Restricted other,Total Restricted Assets,Unrestricted Cash and Investments,Bond proceeds,Proceeds from sale of property,Debt service (excluding coverage),Debt service (net of PFCs and offsets),Enplanements,Landed weights in pounds,Signatory landing fee rate per 1000 lbs,Annual aircraft operations,Passenger airline cost per enplanement,Full time equivalent employees at end of year,Security and law enforcement costs,ARFF costs,Repairs and maintenance,Marketing - Advertising - Promotions,
"				  RI",N,BLOCK ISLAND STATE,BID,6/30/22,10/26/22,31720,0,0,0,32385,0,0,64105,0,0,0,7200,0,0,0,42829,50029,114134,0,0,0,0,0,0,0,0,0,114134,546413,67296,8873,207939,25028,30629,886178,0,886178,-772044,0,0,0,0,0,0,0,0,-772044,0,0,1439395,0,0,0,0,1439395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097,0,
"				  RI",S,THEODORE FRANCIS GREEN,PVD,6/30/22,10/26/22,4348798,0,12274141,0,895054,0,0,17517993,499303,516356,0,1839810,0,1308556,0,18205,4182230,21700223,719699,405914,1223532,403690,6810687,14694315,0,13913430,38171267,59871490,14984535,1971530,783790,6210766,928536,6841777,31720934,22089009,53809943,6061547,766119,-6587654,0,5936303,24400192,0,-4317326,20197634,26259181,0,0,12877089,5855785,91936,0,538724,19363534,179773846,39096713,3.562E+7,254490559,0,0,55020844,55020844,85542682,0,0,22266892,13977474,1451387,1785649704,2.87,62799,12.07,152,3817000,2771000,1920018,2038901,
"				  RI",N,WESTERLY STATE,WST,6/30/22,10/26/22,27980,0,0,0,4890,0,0,32870,0,0,0,72444,0,21754,0,173613,267811,300681,0,0,0,0,0,0,0,0,0,300681,536920,44204,4145,28587,15972,8807,638635,0,638635,-337954,0,0,0,0,0,0,0,0,-337954,0,0,0,0,0,0,130951,130951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2501,0,
"				  AR",S,LITTLE ROCK NATIONAL - ADAMS FIELD,LIT,12/31/22,7/17/23,4917484,0,6359666,0,247920,0,0,11525070,672752,48250,0,208990,0,145062,0,687245,1762299,13287369,3803313,593158,340721,227239,5201468,10316882,0,2367811,22850592,36137961,12414268,2070380,978256,6185075,617481,1886575,24152035,20958716,45110751,-8972790,-773724,0,18389746,4115879,0,3562740,-688191,24606450,15633660,402893293,4.1852695E+8,5975775,607970,93981,0,26107,6703833,0,0,0,0,0,0,0,0,34396399,0,0,0,0,1010426,1318142261,4.26,82697,11.41,152,2347503,1540284,2036488,97287,
"				  CA",N,MCCLELLAN-PALOMAR,CRQ,6/30/22,12/27/22,157780,0,330,0,53546,1119680,0,1331336,0,0,2354259,0,0,550662,0,12840,2917761,4249097,186988,60045,0,0,285610,21800,0,200,554643,4803740,2093289,226858,32651,2122951,0,714460,5190209,1601828,6792037,-1988297,54228,0,148000,11484,0,0,-197471,16241,-1972056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5876,0,1,146305,226.57,8,322362,354147,714460,13218,
"				  GA",N,VALDOSTA REGIONAL,VLD,6/30/22,2/27/23,55272,0,79864,0,0,0,0,135136,0,0,15719,285753,0,26978,0,25463,353913,489049,15295,1144,0,9540,214664,0,0,27137,267780,756829,384471,198229,54907,608615,34219,86957,1367398,2104819,3472217,-2715388,639,0,5156627,0,0,0,0,5157266,2441878,0,0,766127,0,0,0,0,766127,0,0,0,0,2365869,0,0,2365869,0,0,0,0,0,39749,5.5272E+7,1,2352,3.4,8,201880,338637,73396,3709,
"				  SD",N,RAPID CITY REGIONAL,RAP,12/31/22,6/21/23,654155,0,575123,0,0,0,22644,1251922,44033,49323,98040,160815,168306,66561,95981,163186,846245,2098167,24420,174840,118829,22998,2812513,2571882,0,816640,6542122,8640289,2449793,529494,853423,1609788,138646,709514,6290658,3389068,9679726,-1039437,77230,-269332,7954571,1356145,0,0,386385,9504999,8465562,89946906,98382823,938480,1837032,0,31472,1907659,4714643,6670000,3491814,666487,10828301,796046,0,4768352,5564398,21431832,0,0,730150,0,338458,455956,1.67,44696,3.7,34,132113,806041,438776,201699,
"				  AZ",N,KINGMAN,IGM,6/30/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  KS",N,FORBES FIELD,FOE,12/31/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  NJ",N,TRENTON MERCER COUNTY,TTN,12/31/22,4/21/23,401873,0,442994,0,0,0,0,844867,0,0,871615,739188,0,245511,0,1264197,3120511,3965378,1941221,125979,0,58333,574208,3031553,0,0,5731294,9696672,3619350,467375,302390,2707185,29875,934815,8060990,0,8060990,1635682,11336,-150,13382024,1431286,0,0,0,14824496,16460178,39729776,56189954,553659,85273,1085011,0,1055879,2779822,0,0,0,0,0,0,0,0,0,0,0,0,0,328852,319226544,0.75,95762,2.57,26,800000,1046549,141340,9400,
"				  KS",N,MANHATTAN REGIONAL,MHK,12/31/22,6/28/23,54527,0,17253,0,0,0,34340,106120,0,17892,75829,113509,19945,80234,0,52151,359560,465680,32342,8803,0,2400,210189,515308,0,6038,775080,1240760,1064435,247928,272470,143596,0,119728,1848157,1527528,3375685,-2134925,0,0,1794880,306161,0,0,0,2101041,-33884,-1737925,0,1544500,0,0,0,0,1544500,9102308,7930000,0,17032308,0,0,0,0,0,0,0,602918,296756,79050,111219413,0.58,41228,1.34,18,274185,0,471715,64076,
"				  AZ",N,LAUGHLIN/BULLHEAD INTERNATI,IFP,6/30/22,10/31/22,90764,0,334920,0,86790,0,7000,519474,0,0,77287,64773,0,91301,49686,0,283047,802521,752342,3203,0,282877,287040,0,0,11180,1336642,2139163,1369306,120878,12550,203481,102570,208988,2017773,431393,2449166,-310003,0,-66832,5808754,0,-5808754,0,0,-66832,-376835,108313811,100734997,5419443,389311,0,0,126349,5935103,0,1469342,0,1469342,0,0,0,0,3111746,0,0,1333078,0,57942,0,0,10923,8.97,16,82677,298182,120283,9097,
"				  CO",N,GUNNISON COUNTY,GUC,12/31/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  IA",N,DUBUQUE REGIONAL,DBQ,6/30/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  NV",L,HARRY REID INTL,LAS,6/30/22,3/31/23,19602139,0,142626039,0,2786630,5156311,77764,170248883,337935,0,12319635,3622384,15708213,3620187,1255555,0,36863909,207112792,16700886,27693492,27780574,72773835,50080422,83158832,0,2421247,280609288,487722080,97331228,21685826,14715218,63136481,3023442,16351830,216244025,1.9613791E+8,412381935,75340145,-2.95E+07,-94050221,62457831,94026423,0,0,94030607,126941190,202281335,1681639235,1.88392157E+9,15333135,1.046407E+7,2670594,183206,122770913,151421918,2779475000,0,0,2779475000,439773348,0,176336807,616110155,621276855,0,3.168191E+7,322633284,235743034,24025401,26408349753,1.33,553762,7.09,1229,27206949,10907231,14054753,143760,
"				  CO",S,COLORADO SPRINGS,COS,12/31/22,6/30/23,1525503,0,3378438,0,47305,0,6675,4957921,202675,40808,648975,140308,1122448,270920,31000,217266,2674400,7632321,1674280,643577,559739,1066121,4764694,8401531,0,13029940,30139882,37772203,8358523,1558432,-892226,10167383,2267824,10562926,32022862,18400458,50423320,-12651117,1114559,-389333,24174536,4292023,1552401,0,1359223,32103409,19452292,288285232,307737524,41052665,1662265,0,0,2546207,45261137,0,14929757,0,14929757,0,0,4579746,4579746,49125256,0,1580226,2173139,2173139,1064239,1392006953,1.98,155982,4.66,117,1408946,0,452038,1373479,
"				  IL",N,DECATUR,DEC,4/30/22,12/21/22,20621,0,66000,0,0,0,0,86621,0,0,12128,249114,9714,11882,0,719112,1001950,1088571,364589,36993,0,0,85202,0,0,259,487043,1575614,1048936,162023,215247,197971,56392,13424,1693993,0,1693993,-118379,2319,0,3730600,44098,1860361,0,37064,5674442,5556063,2959367,3841123,68375,8815,0,0,4597274,4674464,0,0,0,0,56037,0,2859185,2915222,0,0,157,0,0,0,0,0,0,0,0,43555,298614,395257,57189,
"				  FL",N,GAINESVILLE REGIONAL,GNV,9/30/22,1/24/23,529681,0,1233604,0,7545,0,0,1770830,0,10147,252656,782928,0,326551,161706,4915,1538903,3309733,53669,100931,1400,60279,1686445,2433802,0,408430,4744956,8054689,2370551,583746,529781,1290541,295961,623662,5694242,4081559,9775801,-1721112,48988,0,6680974,890782,0,0,311650,7932394,6211282,80853889,87065171,1002873,711155,0,0,1074382,2788410,0,0,0,0,0,0,0,0,14714867,0,0,0,0,267748,3.174143E+8,1.65,68032,6.61,36,890359,616947,2039160,105648,
"				  OH",S,DAYTON INTL,DAY,12/31/22,11/8/23,2836727,0,5031111,0,0,0,20312,7888150,198399,20655,0,670553,0,147776,0,0,1037383,8925533,4705772,138827,472828,1245856,2494925,6755158,0,896781,16710147,25635680,4378359,2454827,675758,7123049,320758,2429105,17381856,16230489,33612345,-7976665,598627,-2981728,11502514,2307411,438126,1088297,-1902063,11051184,3074519,253079515,256154034,4822757,6208832,0,225438,1314134,12571161,68247792,4025799,0,72273591,7664838,0,207140159,214804997,41349037,0,2577475,7158321,4963224,584487,7.6769406E+8,3.96,36888,13.5,84,3528140,1551925,2277512,700000,
"				  WA",N,YAKIMA AIR TERMINAL,YKM,12/31/22,4/28/23,73074,0,93891,0,0,0,0,166965,13211,906,147388,0,0,68882,0,35671,266058,433023,318929,9775,0,0,161197,149092,0,849579,1488572,1921595,817515,139582,140002,138642,99016,11948,1346705,2379359,3726064,-1804469,124788,0,1915690,128117,0,0,0,2168595,364126,22154576,21715361,156864,269892,0,1455300,485102,2367158,0,0,0,0,0,0,0,0,0,0,0,0,0,35818,37001457,1.41,38716,4.66,8,0,55292,93283,0,
"				  CA",M,SAN JOSE INTERNATION,SJC,6/30/22,12/19/22,23754164,0,68506396,0,492132,2484929,2455853,97693474,790648,0,7324188,3429626,300000,2452926,486620,195423,14979431,112672905,1172978,3986904,-1729821,6640585,16374525,30648887,0,16727066,73821124,186494029,28813363,8157019,2024064,5.91794E+7,1005896,465537,99645279,55259855,154905134,31588895,-4406781,-39312098,3.233433E+7,19673798,5894446,0,-27231909,-13048214,18540681,225301395,243842076,7703107,2719053,5431774,99835,785306,16739075,1047025000,34112000,0,1081137000,84344076,0,49770398,134114474,175169845,0,0,45644178,33224352,4911206,6.269285E+9,4,151233,19.89,215,12145364,8083082,32994559,2853806,
"				  GA",N,ATHENS/BEN EPPS,AHN,6/30/22,10/24/22,32526,0,314956,0,1125,0,18710,367317,0,0,112550,312631,0,3445873,0,0,3871054,4238371,79564,2813,0,0,0,0,0,0,82377,4320748,676429,178453,2419314,30679,0,413606,3718481,224424,3942905,377843,3006,-12110,3035230,0,46760,0,-62420,3010466,3388309,32265605,35653914,4386329,895,0,0,308743,4695967,0,276457,0,276457,0,0,0,0,1523182,0,0,106800,106800,0,0,0,0,0,0,0,0,65784,0,
"				  PA",L,PHILADELPHIA INTL,PHL,6/30/22,12/23/23,46640096,0,1.3275035E+8,0,297814,3956303,0,183644563,16362837,1619396,2723920,15635655,0,1540918,1132544,3483432,42498702,226143265,973053,13903574,6393614,4123026,26504351,65618441,2028243,4314878,123859180,350002445,115603114,15152671,5771546,86815926,4643112,32678293,260664662,114216869,374881531,-24879086,-8753241,-5.07E+07,5.462933E+7,48553346,71505011,-799335,12230510,126663891,101784805,1064013497,1165798302,44300236,49040975,0,38975863,31539423,163856497,1432175000,240878000,0,1673053000,141378974,0,647669453,789048427,379169394,0,0,119588661,86012661,11675322,1.714545E+10,4.82,292871,15.73,598,18701354,9813165,25802502,159822,
"				  WA",N,BOEING FIELD/KING COUNTY INTERNATIONAL,BFI,12/31/22,6/30/23,18894,0,12166,0,121880,0,0,152940,916585,608580,4964087,2836628,1815159,0,0,0,11141039,11293979,19097021,0,0,0,0,0,0,0,19097021,30391000,7403569,3115543,1153725,8143697,559823,7625727,28002084,6468916,34471000,-4080000,650475,0,3161572,0,0,0,0,3812047,-267953,1.39002E+8,1.48576E+8,2513107,1243394,0,0,5162545,8919046,0,0,0,0,0,0,0,0,55478000,0,0,0,0,21717,0,0,0,7.04,0,0,4948251,331188,14468,
"				  HI",N,HANA,HNM,6/30/22,2/9/23,11946,0,3842,0,1620,0,0,17408,0,0,0,2211,459,0,0,404,3074,20482,1035,0,0,0,0,0,0,417,1452,21934,685283,13865,27933,41961,10032,372998,1152072,84684,1236756,-1214822,11819,-738,23451,0,0,0,0,34532,-1180290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190268,190268,2628,6180,0,0,6.62,8,0,530261,279024,0,
"				  MS",N,TUNICA MUNICIPAL,UTA,9/30/22,9/21/23,0,0,0,0,0,0,0,0,0,1708,13291,209101,7955,204441,0,6183,442679,442679,76079,0,0,0,0,0,0,197699,273778,716457,400416,100757,48432,89444,90620,26103,755772,2054693,2810465,-2094008,75,0,126244,0,0,0,0,126319,-1967689,27023904,25198019,332401,0,0,0,0,332401,0,0,0,0,0,0,5711,5711,-78943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  PR",M,LUIS MUNOZ MARIN INTL,SJU,12/31/22,2/15/23,28352957,0,38607234,0,69385,0,0,67029576,0,0,3373168,5659336,0,5383935,0,0,14416439,81446015,0,6665085,25328028,1837432,18048835,15064245,0,34187487,101131112,182577127,23311211,17334564,0,14024091,8274057,28586952,91530875,27019984,118550859,64026268,3210190,-24112142,27109959,2.12052E+7,0,0,-5073989,22339218,86365486,175259378,261624865,0,0,0,0,22220609,22220609,530383464,0,0,530383464,65331724,0,0,65331724,119888154,0,0,32503597,27663128,5157294,8214312,3.47,142422,13,326,7285452,1890585,8216492,0,
"				  FL",S,CHARLOTTE COUNTY,PGD,9/30/22,3/29/23,0,0,0,0,195599,0,0,195599,0,0,0,919281,0,2100862,116572,0,3136715,3332314,1441774,947484,0,40278,7622647,4.572703E+7,0,189900,55969113,59301427,6499446,652894,424989,420037,551908,4461069,13010343,4748337,17758680,41542747,116736,-58052,15759057,4398424,0,0,16065492,36281657,77824404,1.151984E+8,151896086,0,0,0,0,0,0,0,825756,0,825756,0,0,0,0,46420855,0,0,0,0,922394,906382191,0,86539,0.21,135,251517,660633,1704566,205209,
"				  MN",N,CHISHOLM-HIBBING,HIB,12/31/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  NC",S,PIEDMONT TRIAD INTL,GSO,6/30/22,11/4/22,2643959,0,4428743,0,306670,0,0,7379372,3226913,0,771282,3083265,0,187341,277156,28981,7574938,14954310,1124987,304841,401604,206444,3615742,6903223,139482,942648,13638971,28593281,12402218,1293065,1678268,959373,853844,2608045,19794813,20854793,40649606,-12056325,286617,-1340272,30029615,3237380,0,0,-272367,31940973,19884648,428885714,448770362,10750866,5872035,212952,825290,14848852,32509995,55015000,0,0,55015000,33153778,0,195622,33349400,83799664,0,0,6276272,3662245,779779,2231884,2.6,29242,9.46,127,2883736,1494662,428084,1044167,
"				  MI",N,FORD,IMT,12/31/22,4/28/23,22077,0,119910,0,6120,0,0,148107,23256,0,32467,129040,0,23657,16170,0,224590,372697,0,0,0,0,12132,0,0,0,12132,384829,429976,104436,53252,394385,0,252041,1234090,0,1234090,-849261,349,-24142,216230,84679,0,0,0,277116,-572145,0,0,0,0,0,0,1021709,1021709,0,0,0,0,0,0,682060,682060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  WV",N,BENEDUM,CKB,6/30/22,3/20/23,22475,0,42016,0,702,0,608906,674099,0,16275,1168,833318,40859,1077444,15360,399610,2384034,3058133,220479,281124,0,3337,52790,0,0,0,557730,3615863,1912649,168393,137313,760859,228970,167991,3376175,1787107,5163282,-1547419,5176,-223792,13380067,220951,11637,0,1408890,14802929,13255510,28149288,41404798,0,316451,0,0,9956070,10272521,0,15973538,0,15973538,0,0,0,0,2896706,0,0,0,0,42710,5.753976E+7,0.6,33792,15.78,29,64596,14315,202517,278175,
"				  MA",N,WORCESTER REGIONAL,ORH,6/30/22,2/1/23,120855,0,364960,0,39609,0,19151,544575,0,40176,50869,82719,77595,98713,91167,105200,546439,1091014,659833,5700,0,71194,314341,0,0,154764,1205832,2296846,6864119,603675,679862,1983880,276819,3086368,13494723,7626975,21121698,-18824852,0,0,1748400,0,0,0,3210226,4958626,-13866226,0,0,1983835,28954,0,0,-117741,1895048,0,0,0,0,0,0,0,0,0,0,0,0,0,49132,0,1.27,2281,11.08,21,2315284,2959469,1438610,503527,
"				  NH",N,PEASE INTL TRADEPORT,PSM,6/30/22,2/3/23,0,0,46754,0,0,0,0,46754,0,115584,0,961841,0,643332,23260,27650,1771667,1818421,5391022,24079,0,0,0,547872,0,5461808,11424781,13243202,4746287,780407,334353,1620895,325836,904559,8712337,6175855,14888192,-1644990,5820229,0,4270203,0,2328232,31086,1977072,14426822,12781832,74099863,83862594,263657,852206,0,395794,434080,1945737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  CA",L,SAN FRANCISCO INTL,SFO,6/30/22,2/2/23,171381707,0,203838421,0,6308984,0,0,381529112,4412252,0,21777824,37261377,0,0,0,20013561,83465014,464994126,15112279,25610136,22794512,26520564,63441502,1.320905E+8,29250536,41438831,356258860,821252986,127837027,34033604,14223782,262442975,10959973,3956443,453453804,356376079,809829883,11423103,-64113312,-321131991,175825243,72804249,40997982,0,-81245671,-176863500,-165440397,-494802893,-660243289,67539167,168530465,0,589643,27130280,263789555,8099275000,85975000,0,8185250000,722125103,0,0,722125103,969161528,1090304,0,336597494,336597494,17396249,26496685,11.4,328183,21.93,1327,51294047,1.738377E+7,89431565,5558908,
"				  NY",S,WESTCHESTER COUNTY,HPN,12/31/22,10/19/23,0,0,6902590,0,463894,0,10579824,17946308,0,2398511,0,1.493421E+7,0,7298061,0,0,24630782,42577090,2107990,0,167567,550290,1785651,4201088,0,8161203,16973789,59550879,14275301,1566636,3896796,24802435,445059,16256625,61242852,0,61242852,-1691973,352615,-842055,5884353,3592224,0,0,613705,9600842,7908869,20437228,28346097,725222,0,0,0,8081339,8806561,32664832,0,0,32664832,2813350,0,0,2813350,21299823,0,0,2253273,0,873250,909852892,2.64,159781,20.55,136,11556164,1613521,4495502,0,
"				  TX",N,MC ALLEN MILLER INTL,MFE,9/30/22,1/25/23,740239,0,1087618,0,199841,18236,38325,2084259,113278,0,179254,200247,0,107704,0,140240,740723,2824982,0,167658,175205,140964,2239520,1513528,0,201715,4438590,7263572,2019392,451770,111717,2533959,29189,2022669,7168696,4867286,12035982,-4772410,-214254,0,5614365,1898850,4930970,0,246445,12476376,7703966,88474597,90925145,3010229,1139568,0,0,856934,5006731,4690000,0,0,4690000,265020,0,0,265020,16217384,0,-3837,242851,0,461213,513435407,1.41,71417,4.52,37,689846,1220880,714552,769504,
"				  NC",M,RALEIGH-DURHAM INTL,RDU,3/31/22,7/12/22,11796528,0,22247755,0,0,731388,15387156,50162827,1481179,0,2778806,2588201,0,1799480,1364348,1747399,11759413,61922240,3470701,5143901,6191766,1433062,16071235,53211553,0,789888,86312106,148234346,39451457,6298051,2715702,25554611,1385366,1826691,77231878,55528068,132759946,15474400,1037027,-12857209,51313076,20230983,50000,0,9797317,69571194,85045594,781666199,866711792,17761148,1882427,33286,30368,295193,20002422,401955000,0,0,401955000,38557642,0,0,38557642,376643966,0,0,40639894,25639894,5024074,6440109,2,16017,9.98,306,5274925,2334640,16305693,2041258,
"				  TX",S,EL PASO INTL,ELP,8/31/22,5/15/23,2886284,0,5941349,0,140000,0,325820,9293453,995737,556206,322052,2359900,0,613172,0,635990,5483057,14776510,6871818,928742,851266,771090,6211955,9191838,1789760,1325735,27942204,42718714,17571323,2672833,1141890,9034504,184655,1210421,31815626,19624096,51439722,-8721008,379834,-2742298,13041279,7156316,0,0,0,17835131,9114123,251117022,260231145,7095073,1468422,44047,101587,4597618,13306747,92685516,0,0,92685516,13323161,0,1964874,15288035,45596668,0,4406,9544927,5122377,1789195,1904328,1.46,92287,5.19,231,4051837,3922672,1028637,270835,
"				  TX",N,EASTERWOOD,CLL,8/31/22,12/27/22,221985,0,353406,0,0,0,0,575391,0,0,353874,0,0,0,0,0,353874,929265,0,126998,0,128066,521998,304453,0,266181,1347696,2276961,1073569,190735,92233,960396,69313,247918,2634164,0,2634164,-357203,3025,0,3644755,239961,0,0,194331,4082072,3724869,0,0,2627693,5486,0,0,6311,2639490,0,0,0,0,0,0,1031251,1031251,1634677,0,0,0,0,62248,81611471,2.72,0,9.24,21,232239,301544,218591,9976,
"				  MA",N,LAURENCE G HANSCOM FIELD,BED,6/30/22,2/1/23,0,0,0,0,0,0,0,0,0,1913175,4973233,5201367,0,2664214,0,3789642,18541631,18541631,123870,0,0,0,288597,123600,0,127656,663723,19205354,8650850,296412,325382,2511030,326861,1839824,13950359,4957393,18907752,297602,0,-1693811,866309,0,0,0,148000,-679502,-381900,0,0,1158757,0,0,0,3379503,4538260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,124379,0,19,11829052,4017966,952459,4393,
"				  OH",M,PORT COLUMBUS INTL,CMH,12/31/22,4/28/23,16725951,0,17962461,0,3361938,11800,0,38062150,70405,0,1327605,604368,0,1694629,357700,2205406,6260113,44322263,410332,1798167,737579,541898,9030383,44263019,7944799,757161,65483338,109805601,19120522,3615122,3381076,18378386,1696158,15701657,61892921,43044285,104937206,4868395,9894768,-5020291,19766246,15159778,0,0,-1275862,38524639,43393034,790750639,834143673,2682734,8226463,370633,0,8574839,19854669,29252152,37501274,9.023E+7,156983426,22353001,0,36612608,58965609,225303237,6129165,32500,10806441,3617434,3721659,4286007023,4.41,146344,10.23,287,8917410,2097792,4718898,249749,
"				  NC",N,CRAVEN COUNTY REGIONAL,EWN,6/30/22,2/23/23,0,0,75953,0,0,0,0,75953,17266,0,56865,132363,0,32072,99280,8119,345965,421918,126403,16168,0,62970,432921,666699,0,165165,1470326,1892244,1269651,191145,176216,986589,175034,564190,3362825,1445853,4808678,-2916434,6598,0,6578324,302340,0,0,34951,6922213,4005779,45843664,49849443,4421318,869016,234714,0,474220,5999268,0,0,0,0,0,0,0,0,6760780,0,0,0,0,78854,109645896,1.25,68249,0.96,23,336737,294837,53542,457220,
"				  OH",N,YOUNGSTOWN-WARREN REGIONAL,YNG,12/31/22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  AZ",L,PHOENIX SKY HARBOR INTL,PHX,6/30/22,12/24/22,36551312,0,78501695,0,221534,3047076,0,118321617,2553150,759956,428598,5120751,0,1110341,855190,9973305,20801291,139122908,30746778,23444821,15592686,0,63462212,119486716,0,43837142,296570355,435693263,49964468,21213398,35639141,132416868,2854458,14464812,256553145,169544635,426097780,9595483,26746077,-9.50E+07,159215391,83102938,1.6194E+7,0,-4707467,185593679,195189162,1469027152,1664216313,31897995,6.647882E+7,7428027,36529327,5588402,147922571,2563740387,0,0,2563740387,408056121,0,0,408056121,466913545,0,-4707467,162693029,85673571,22091621,26171106,1.51,427096,5.36,737,30813116,17148965,55750129,366798,
"				  AK",N,ALASKAN CONSOLIDATED AIRPORTS,AKAP,6/30/22,2/3/23,892279,0,3074437,0,122671,0,327704,4417091,0,0,0,0,50219,615164,3300,714421,1383104,5800195,2451837,649355,17471,11015,11670,354430,0,2697743,6193521,11993716,15535193,3671352,6324800,7220797,945198,5616190,39313530,4659491,43973021,-31979305,4592,-161139,99589599,385725,0,0,507500,100326277,68346972,27785291,29669016,57299852,-203068,0,28292,19064743,76189819,3887105,0,0,3887105,345698,0,0,345698,4794746,0,0,336975,13640,0,0,0,0,0,0,216072,640444,9933703,310529,
"				  LA",N,SHREVEPORT REGIONAL,SHV,12/31/22,5/19/23,989800,0,1461166,0,36025,0,479711,2966702,1138273,0,334969,1900031,0,296550,123430,774534,4567787,7534489,480389,127129,0,21325,1617937,2599901,0,219470,5066151,12600640,4358665,1320857,304573,2339809,0,283977,8607881,8621654,17229535,-4628895,27963,-1131655,0,1140913,9744593,0,0,9781814,5152919,108391983,113544902,3525876,2254582,0,89858,386942,6257258,19374525,0,0,19374525,4727860,0,127871,4855731,16703481,0,0,2997892,2997892,281138,6.6051752E+8,3.1,32496,10.55,50,1805321,694060,538989,137098,
"				  TX",N,AMARILLO INTL,AMA,9/30/22,3/29/23,767822,0,2854184,0,0,0,0,3622006,4233,88990,76336,541193,0,128479,109500,0,948731,4570737,1304613,210955,0,111660,1350181,3303904,0,535549,6816862,11387599,3646676,741318,1114244,2163991,815966,2864926,11347121,6698759,18045880,-6658281,399426,0,9397614,1327703,0,0,306766,11431509,4773228,90616661,95389889,3713833,466708,157083,0,1642277,5979901,0,0,0,0,313572,0,0,313572,21607834,0,1645360,0,-1115000,356381,562655101,1.7,41456,10.16,58,1444453,2112423,516851,359688,
