"	State",Hub Size,Airport Name,LOC_ID,FYE,Date Filed,Passenger airline landing fees,Landing Fee (from Obsolete form FAA-5100-127),Terminal arrival fees - rents - utilities,Terminal/International arrival area rental or other charge (form Obsolete form FAA-5100-127), Terminal area apron charges/tiedowns,Federal Inspection Fees,Other passenger aeronautical fees,Total Passenger Airline Aeronautical Revenue,Landing fees from cargo,Landing fees from GA and military, FBO revenue - contract or sponsor-operated,Cargo and hangar rentals,Aviation fuel tax retained for airport use,Fuel sales net profit/loss or fuel flowage fees,Security reimbursement from Federal Government,Other non-passenger aeronautical revenue,Total Non-Passenger Aeronautical Revenue,Total Aeronautical Revenue,Land and non-terminal facility leases and revenues,Terminal-food and beverage,Terminal-retail stores and duty free,Terminal-services and other,Rental cars-excludes customer facility charges,Parking and ground transportation,Hotel,Other Non-Aeronautical Revenue,Total Non-Aeronautical Revenue,Total Operating Revenue,Personnel compensation and benefits,Communications and utilities,Supplies and materials,Contractual services,Insurance claims and settlements,Other Operating Expenses,Subtotal - Operating Expenses,Depreciation,Total Operating Expenses,Operating Income,Interest Income,Interest expense,Grant receipts,Passenger Facility Charges,Capital Contributions,Special items (loss),Other Non-Operating Revenue,Total Non-Operating Revenue,Change in net assets,Net assets (deficit) at beginning of year,Net assets (deficit) at end of year,Airfield,Terminal,Parking,Roadways - Rail - Transit,Other Capital Expenditures,Total Capital Expenditures,Long Term Bonds,Loans and interim financing,Special facility bonds,Total Debt at End of Year,Restricted debt reserves,Restrictions for renewals and replacements,Restricted other,Total Restricted Assets,Unrestricted Cash and Investments,Bond proceeds,Proceeds from sale of property,Debt service (excluding coverage),Debt service (net of PFCs and offsets),Enplanements,Landed weights in pounds,Signatory landing fee rate per 1000 lbs,Annual aircraft operations,Passenger airline cost per enplanement,Full time equivalent employees at end of year,Security and law enforcement costs,ARFF costs,Repairs and maintenance,Marketing - Advertising - Promotions,
"	MT",S,GALLATIN FIELD,BZN,6/30/13,1/6/14,571021,0,781736,0,27836,0,0,1380593,15961,104616,43836,31209,0,116616,131193,13500,456931,1837524,595198,267778,297215,266167,2095095,1904862,0,603462,6029777,7867301,2436835,584060,723770,82813,76045,110480,4014003,3808951,7822954,44347,269044,-653486,3190891,1696972,-1886625,0,-38597,2578199,2622546,84534287,87156833,82868,53936,81934,49552,516365,784655,15510000,0,0,15510000,1855611,0,1324128,3179739,11395558,0,0,-653486,0,440203,5.25074E+8,1,14576,3.14,31,610048,747929,490896,19060,
"				  TX",N,MATHIS FIELD,SJT,9/30/13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  TX",N,MC ALLEN MILLER INTL,MFE,9/30/13,1/23/14,643057,0,1108942,0,117406,0,99037,1968442,0,0,177465,102846,0,88129,152939,0,521379,2489821,0,78167,20000,93251,1328617,1174826,0,1858,2696719,5186540,1621572,517414,64174,411214,103439,866245,3584058,3362613,6946671,-1760131,7577,0,433101,1338157,0,0,19303,1798138,38007,0,0,314950,1534102,0,0,0,1849052,0,46438,0,46438,0,0,0,0,0,4172626,0,0,726698,352589,5.04256E+8,0,57286,5.58,38,551982,551983,404330,215333,
"				  TX",N,LAREDO INTL,LRD,9/30/13,2/20/14,537489,0,0,0,0,0,799,538288,0,0,0,1415459,0,487850,0,0,1903309,2441597,3406360,0,0,3895,0,500863,0,581253,4492371,6933968,2325335,492496,293524,2598392,137840,159255,6006842,0,6006842,927126,21935,0,12261888,443952,0,0,-10448178,2279597,3206723,2157843,14688779,0,908098,0,0,952473,1860571,7934114,0,0,7934114,0,0,0,0,16563237,0,11679674,494890,0,200803,398752468,1.2,111883,2.68,54,1060180,0,533444,97382,
"				  TX",N,ABILENE REGIONAL,ABI,9/30/13,1/15/14,62792,0,66997,0,0,0,0,129789,0,0,0,50327,0,60697,0,0,111024,240813,192694,0,0,28449,379297,558654,0,134662,1293756,1534569,1112968,258004,42261,86912,4925,266476,1771546,0,1771546,-236977,3158,0,6224458,349014,-944450,0,162668,5794848,5557871,0,0,6603455,0,5060,29893,356708,6995116,3475000,0,0,3475000,0,0,0,0,0,0,0,542362,455482,85007,144799473,0.43,62738,1.53,20,7566,574750,206936,71594,
"				  TX",N,BROWNSVILLE/SOUTH PADRE ISLAND INTL,BRO,9/30/13,4/4/14,52868,0,365932,0,1335,175,0,420310,10771,0,161047,224132,0,78645,0,0,474595,894905,949424,12509,0,459,389339,179782,0,54692,1586205,2481110,2428424,320355,154325,22560,80338,629336,3635338,2904828,6540166,-4059056,2275,0,681520,371297,0,0,2308889,3363981,-695075,0,0,430734,50514,0,0,135559,616807,7691025,0,0,7691025,0,0,0,0,0,1100000,0,1261025,0,71766,97865374,0.52,0,5.86,24,22560,1359462,276862,160985,
"				  TX",N,TYLER POUNDS FIELD,TYR,9/30/13,3/18/14,69988,0,86250,0,0,0,0,156238,0,0,0,85978,0,48991,0,41236,176205,332443,887,5805,0,41824,294214,611455,0,171923,1126108,1458551,529639,335829,86979,239890,19085,374388,1585810,1326033,2911843,-1453292,4119,-18414,5998483,357001,0,0,685433,7026622,5573330,0,0,0,0,0,0,7855306,7855306,0,0,1175000,1175000,0,0,299873,299873,0,1148000,0,104180,0,0,0,0,0,0,0,0,0,0,0,
"				  TX",N,EASTERWOOD,CLL,8/31/13,5/26/15,555897,0,472039,0,11218,0,0,1039154,0,0,224669,125964,0,1083880,36400,8109,1479022,2518176,0,12344,16250,0,461701,416478,0,22318,929091,3447267,1307720,236992,223979,354764,13406,638141,2775002,1620163,4395165,-947898,59584,0,3932921,335985,65400,0,179720,4573610,3625712,0,0,4126300,0,0,0,0,4126300,0,241513,0,241513,0,0,1493269,1493269,23690339,0,0,0,0,79598,0,0,54000,13.06,16,332279,110760,311555,17911,
"				  TX",N,JEFFERSON COUNTY,BPT,9/30/13,1/23/14,616,0,5535,0,0,0,0,6151,0,0,0,191254,0,535967,0,4196,731417,737568,276917,0,281293,0,5359,4841,0,6837,575247,1312815,1591814,187790,77371,492269,152751,401321,2903316,1896748,4800064,-3487249,251,0,896690,118483,24950,1000000,10977,2051351,-1435898,30839498,31920895,1013521,0,0,0,0,1013521,0,0,0,0,0,0,30418209,30418209,66787,0,0,0,0,24669,46649049,1.44,20351,0.25,24,0,429770,366909,50962,
"				  CA",N,MODESTO CITY-COUNTY?HARRY,MOD,6/30/13,12/10/13,24801,0,54801,0,3277,0,1701,84580,2412,0,0,319610,0,47571,0,0,369593,454173,121830,3105,0,0,141941,3814,0,55644,326334,780507,404397,115770,13283,406354,25955,7019,972778,608469,1581247,-800740,1991,0,585827,47900,106831,0,118984,861533,60793,1195509,1255476,515232,0,97812,0,189145,802189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2159,103574,81903,16914,
"				  AZ",N,ERNEST A. LOVE FIELD,PRC,6/30/13,10/23/13,27904,0,32765,0,0,0,0,60669,3094,8995,559685,608548,0,108812,0,41059,1330193,1390862,4083,6335,0,851,14458,0,0,1830,27557,1418419,488719,137327,76295,206596,47424,2001,958362,979888,1938250,-519831,849,-16730,8111293,0,18052,0,0,8113464,7593633,25947798,33440885,8567650,0,0,0,100373,8668023,145909,1134416,0,1280325,0,0,0,0,0,0,0,334320,0,0,0,0,0,0,0,0,0,0,0,
"				  CA",N,REDDING MUNI,RDD,6/30/13,12/2/13,39017,0,98580,0,0,0,1250,138847,62585,0,0,341227,0,103682,225293,73114,805901,944748,488854,43194,3041,16261,277976,155430,0,35409,1020165,1964913,782479,141650,101818,701954,14900,27418,1770219,1273541,3043760,-1078847,211,-270803,-119393,91027,4090227,0,330713,4121982,3043135,14546763,17589898,104164,4342530,0,0,17162,4463856,400667,6225816,0,6626483,55887,0,0,55887,0,0,0,1458190,0,28812,8.683932E+7,1.17,98922,4.82,9,214585,224801,56628,525,
"				  CA",N,SANTA MARIA PUB/CAPT G ALLA,SMX,6/30/13,10/10/14,58607,0,35029,0,0,0,0,93636,17723,0,470861,601738,0,56139,73283,0,1219744,1313380,1208139,26569,1500,110867,238132,0,142194,14787,1742188,3055568,1083078,487902,68509,1351541,102141,469782,3562953,2222345,5785298,-2729730,15323,0,1436368,208036,0,0,1294059,2953786,224056,3.770481E+7,37928865,7292427,460879,0,0,2524,7755830,0,0,0,0,0,0,0,0,0,0,0,0,0,110081,5.8606E+7,1,45947,0.85,11,261048,500573,217889,126555,
"				  CA",N,OXNARD,OXR,6/30/13,3/11/14,0,0,0,0,0,0,0,0,8986,13954,354372,347161,0,45049,0,0,769522,769522,173154,1318,0,0,221471,19172,0,0,415115,1184637,648181,90726,219686,136303,36402,24844,1156142,1118435,2274577,-1089940,0,-1928,1492834,0,0,0,-742966,747940,-342000,0,0,1198336,0,2526,0,302761,1503623,0,16756,0,16756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  CA",N,MCCLELLAN-PALOMAR,CRQ,6/30/13,1/23/14,45141,0,46680,0,81936,194918,0,368675,0,0,1447081,0,0,178357,0,0,1625438,1994113,551354,50913,0,0,328334,229497,0,6675,1166773,3160886,1512295,174096,48583,2304290,0,437945,4477209,1709480,6186689,-3025803,138430,0,2527091,207320,0,0,-26425,2846416,-179387,0,0,2315544,0,20622,0,73175,2409341,0,0,0,0,0,0,0,0,0,0,0,0,0,54587,6.6196E+7,0.5,160290,6.75,6,291661,199477,437945,49397,
"				  CA",N,SONOMA COUNTY,STS,6/30/13,12/26/14,180744,0,0,0,912,0,0,181656,0,0,0,1380207,213907,0,0,0,1594114,1775770,1051135,0,0,0,399017,685022,0,11332,2146506,3922276,1437492,168567,209706,724738,21306,730980,3292789,925486,4218275,-295999,26683,-65203,111530,336096,0,0,6262,415368,119369,0,0,3901982,0,0,0,0,3901982,0,8569647,0,8569647,8569647,0,432227,9001874,432227,0,0,0,0,109153,308848785,1,76118,1.66,12,76900,23466,308686,80502,
"				  AS",N,PAGO PAGO INTL,PPG,9/30/13,12/10/13,214708,0,40315,0,3900,0,0,258923,27300,11221,0,24043,29041,0,900,82301,174806,433729,576201,26000,14242,3670,8650,100374,0,175514,904651,1338380,1604919,469726,76623,300729,0,72017,2524014,0,2524014,-1185634,0,0,2610431,360446,0,0,0,2970877,1785243,4415691,6200934,1931866,75000,0,0,603565,2610431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,
"				  AZ",N,LAUGHLIN/BULLHEAD INTERNATI,IFP,6/30/13,1/28/14,137738,0,457600,0,83194,6300,0,684832,0,0,68480,20100,0,124355,0,0,212935,897767,788423,30142,0,13742,319986,2953,0,73764,1229010,2126777,968719,135250,296290,193973,78359,45204,1717795,317241,2035036,91741,387,-215139,5497629,0,-5906750,0,6234,-617639,-525898,62962656,62436758,5815009,0,0,0,0,5815009,0,4503730,0,4503730,0,0,0,0,0,0,0,174139,0,112539,0,0,0,6.09,16,45970,238893,114268,10664,
"				  MP",S,SAIPAN INTL,GSN,9/30/13,2/3/14,1832725,0,5450904,0,11064,0,0,7294693,0,0,1305034,0,0,162468,0,0,1467502,8762195,315402,140016,2617280,934362,300634,74918,0,147359,4529971,13292166,4892915,1970373,411211,621171,600402,1275711,9771783,9876452,19648235,-6356069,13752,-855625,14776753,1927055,0,0,0,15861935,9505866,0,0,10576379,953926,0,0,5749497,17279802,13425010,0,0,13425010,3293531,0,0,3293531,12326970,0,0,1385625,0,525311,8.7320677E+8,2.02,37062,13.89,192,1148912,1793331,459109,19684,
"				  CA",M,ONTARIO INTL,ONT,6/30/13,12/27/13,5768605,0,20569606,0,84699,0,0,26422910,4733724,801632,0,3589508,0,51178,254497,143579,9574118,35997028,2717293,1271639,1106761,1516611,6786575,13815038,0,667416,27881333,63878361,26643104,4087524,3555923,16115638,2176287,8448646,61027122,20522715,81549837,-17671476,391823,-3479293,0,5902349,0,0,3535960,6350839,-11320637,415655923,404335286,55000,0,0,0,63000,118000,67095000,0,0,67095000,8875170,0,63788409,72663579,63581237,0,0,7014585,7014585,2076333,4.901055E+9,2.28,44060,12.73,237,8015917,6289457,16838933,570007,
"				  AZ",N,FLAGSTAFF PULLIAM,FLG,6/30/13,12/26/13,92075,0,67969,0,4563,0,0,164607,4041,0,27918,369017,0,50340,43261,0,494577,659184,316240,6300,0,0,526907,1488,0,18310,869245,1528429,816241,195629,67129,693736,0,389352,2162087,2769290,4931377,-3402948,1990,-124968,396241,199659,987244,0,-332573,1127593,-2275355,40550537,38275181,548237,0,0,0,0,548237,2120603,0,0,2120603,0,0,0,0,174036,0,-333653,286685,0,62472,91540,1.05,4735400,2.63,9,195976,120237,760865,0,
"				  AZ",N,GRAND CANYON NATIONAL PARK,GCN,6/30/13,12/31/13,92132,0,131517,0,2488,0,0,226137,0,0,422192,3000,0,28809,4410,4780,463191,689328,12266,17205,142316,311,0,116864,0,66256,355218,1044546,747109,192890,170823,86790,0,0,1197612,0,1197612,-153066,0,0,0,0,0,0,0,0,-153066,0,0,0,124595,0,0,0,124595,0,0,0,0,0,0,0,0,0,0,0,0,0,338465,297813163,1.05,100340,0.67,14,1020,636278,184845,1375,
"				  AZ",S,TUCSON INTL,TUS,9/30/13,3/30/14,2442338,0,8718421,0,149207,0,1752533,13062499,208659,457910,1409844,292462,0,2190367,413479,278780,5251501,18314000,6773604,1125542,675724,171121,5883762,6378680,0,2420613,23429046,41743046,18855823,2365335,1348953,3956442,679920,497484,27703957,16472711,44176668,-2433622,251981,-3048133,1.354228E+7,6193285,0,0,-1469817,15469596,13035974,324728913,337764887,2888082,94995,133049,185340,13510575,16812041,58385000,0,0,58385000,4979434,0,28015685,32995119,112516017,0,15771,8554232,3717364,1655617,2.023646E+9,1.31,138263,7.89,254,4507996,2357298,7057437,0,
"				  AZ",L,PHOENIX SKY HARBOR INTL,PHX,6/30/13,12/27/13,44358461,0,69458723,0,259320,0,0,114076504,2526256,103445,321972,4112291,0,472153,1689521,0,9225638,123302142,15714886,17666529,10833669,7016040,44575825,7.980525E+7,0,42570576,218182775,341484917,70627488,19200527,37954259,92971589,1653466,21483952,243891281,140421581,384312862,-42827945,518490,-70784795,1.402967E+7,78790765,642502,0,-152368,23044264,-19783681,1687582666,1667798985,10606434,13442335,7041291,1.2619341E+8,33149503,190432973,1679728111,62196299,0,1741924410,260377416,0,2615021117,2875398533,307388568,0,-152368,216530962,171663461,20235788,2.4947517E+10,1.85,440215,5.64,837,18250287,12468199,35302784,188358,
"				  CA",N,VISALIA MUNI,VIS,6/30/13,8/12/19,17793,0,35690,0,8558,0,0,62041,0,0,151081,313995,0,22558,0,0,487634,549675,169530,0,0,0,14989,0,0,0,184519,734194,326770,91557,74091,0,0,0,492418,0,492418,241776,25192,0,715414,0,0,0,0,740606,982382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3327,0,0.85,70000,18.65,5,0,37656,47866,51901,
"				  CA",N,IMPERIAL COUNTY,IPL,6/30/13,7/18/19,16538,0,67265,0,300,0,0,84103,9090,8550,4317,97177,0,18979,0,0,138113,222216,238254,0,0,0,124314,0,0,0,362568,584784,189937,96153,0,183375,0,0,469465,0,469465,115319,0,0,0,12714,0,0,0,12714,128033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  CA",N,CHICO MUNI,CIC,6/30/13,12/23/13,42732,0,9600,0,0,0,42260,94592,0,0,27297,76424,0,25468,0,0,129189,223781,171293,0,0,0,66902,0,0,10,238205,461986,241240,89832,13081,251110,3688,31443,630394,1102095,1732489,-1270503,0,0,317786,63405,10489,0,-334902,56778,-1213725,16093907,14880182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-530678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  AZ",N,PAGE MUNI,PGA,6/30/13,10/24/13,0,0,337906,0,18561,0,0,356467,0,0,0,108670,0,22908,0,15854,147432,503899,0,0,0,0,0,7060,0,0,7060,510959,39973,81475,12902,36107,4500,385807,560764,0,560764,-49805,0,-20952,1776756,0,0,0,0,1755804,1705999,0,0,100847,0,1859674,0,0,1960521,1486333,0,0,1486333,148667,0,0,148667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  CA",L,SAN DIEGO INTL,SAN,6/30/13,12/27/13,18435137,0,43037324,0,3191428,424433,20333258,85421580,1223036,0,3432654,3987174,0,162694,189181,2739297,11734036,97155616,3203732,6574875,3257773,2976972,24401371,34463565,0,5463908,80342196,177497812,38092464,6659333,1095509,66887494,794984,13266615,126796399,41623627,168420026,9077786,4140068,-16530425,0,35437453,1.607728E+7,0,17972640,57097016,66174802,660888566,727063368,19212356,156900905,14041186,114041186,16010296,320205929,1027411188,50969000,0,1078380188,52007087,0,476540890,528547977,147781439,435519101,694150,44772182,25289745,8737617,11015716,1.83,188304,9.78,370,19717138,4276892,4.647809E+7,5354883,
"				  WA",N,BOEING FIELD/KING COUNTY INTERNATIONAL,BFI,12/31/13,6/27/14,22111,0,17627,0,122052,0,0,161790,949789,333148,2726239,1931394,1743166,0,0,0,7683736,7845526,11121474,0,0,0,0,0,0,0,11121474,18967000,5318716,1915101,444725,9756320,308050,5586829,23329741,4194259,27524000,-8557000,126322,-180463,7680981,0,3500000,17907,808742,11953489,3396489,1.1293E+8,1.12743E+8,2135661,0,0,136239,10809088,13080988,4140000,0,0,4140000,0,0,0,0,22119000,0,0,625643,0,0,0,0,0,0,0,0,0,0,0,
"				  MI",N,GOGEBIC-IRON COUNTY,IWD,12/31/13,5/15/14,101250,0,41778,0,0,0,0,143028,8550,306,0,47483,0,21358,23520,256030,357247,500275,0,0,0,0,0,405,0,0,405,500680,279784,39693,1957,6477,11032,9635,348578,0,348578,152102,0,0,6025,10662,0,0,0,16687,168789,0,0,49000,0,0,0,2952,51952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29120,3220,38465,10413,
"				  MI",N,ALPENA COUNTY REGIONAL,APN,12/31/13,6/19/14,78156,0,27917,0,0,0,0,106073,0,0,0,16082,0,16722,14139,3262,50205,156278,88366,413,0,0,0,0,0,0,88779,245057,84114,61169,30899,303437,4500,6004,490123,271269,761392,-516335,274,0,15034,66310,198251,0,0,279869,-236466,6087094,5850628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  AK",N,MERRILL FIELD,MRI,12/30/13,4/30/14,0,0,0,0,292676,0,0,292676,0,0,629377,0,22543,63722,0,51248,766890,1059566,719069,0,0,0,0,40461,0,0,759530,1819096,868284,174083,135725,73927,25713,96499,1374231,2353402,3727633,-1908537,64151,0,1214068,0,0,0,-28178,1250041,-658496,64954371,65493003,3190376,0,0,0,602544,3792920,0,689033,0,689033,0,0,60109902,60109902,5383101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  CO",N,SAN LUIS VALLEY REGIONAL/BERGMAN FIELD,ALS,12/31/13,11/13/14,12259,0,18661,0,1320,0,0,32240,0,0,26200,88838,17312,0,34668,0,167018,199258,4125,0,0,0,10561,0,0,149112,163798,363056,122797,86040,19416,22985,5760,412156,669154,128328,797482,-434426,387,-8532,297982,20470,331406,0,13041,654754,220328,2321627,2541955,0,311406,0,0,30760,342166,182723,0,0,182723,182723,0,1936948,2119671,422284,0,7500,21573,0,0,0,0,0,0,0,0,0,0,0,
"				  SD",N,BROOKINGS MUNICIPAL,BKX,12/31/13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  MO",N,CAPE GIRARDEAU REGIONAL,CGI,6/30/13,12/18/13,8141,0,1521,0,0,0,0,9662,0,0,0,145809,0,291983,0,172098,609890,619552,54634,6295,19196,0,0,0,0,0,80125,699677,761930,104650,110904,180553,65768,149178,1372983,0,1372983,-673306,303,0,0,0,578807,90524,659,670293,-3013,162771,159758,0,0,0,0,0,0,0,0,0,0,44825,0,1991,46816,333865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  AK",N,NUIQSUT,AQT,6/30/13,9/16/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72330,11309,0,27629,0,0,111268,0,111268,-111268,0,0,0,0,0,0,0,0,-111268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139872,0,
"				  AZ",N,Grand Canyon West,1G4,12/31/13,12/11/14,0,0,50100,0,0,0,0,50100,0,0,0,0,0,0,0,0,0,50100,0,750842,4033130,0,0,0,0,0,4783972,4834072,1512597,5616,2527833,0,0,74014,4120060,2700868,6820928,-1986856,0,0,533936,253833,0,0,10000,797769,-1189087,14380212,13191125,473742,0,0,0,637453,1111195,0,0,0,0,0,0,0,0,13227571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  MI",N,CHARLEVOIX MUNICIPAL,CVX,3/31/13,5/9/14,0,0,0,0,30629,0,0,30629,0,0,16869,26805,0,90912,0,33059,167645,198274,0,0,0,0,0,79162,0,0,79162,277436,233467,30479,3118,38743,92442,10533,408782,0,408782,-131346,0,-4227,29136,0,0,0,0,24909,-106437,0,0,0,0,0,0,0,0,0,45279,0,45279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  CA",N,SOUTHERN CALIFORNIA INTERNATIONAL,VCV,12/31/13,5/6/14,0,0,0,0,0,0,0,0,0,1871710,152605,5892176,0,268647,0,198758,8383896,8383896,151500,5743,0,0,0,0,0,25000,182243,8566139,1691175,429402,753038,3827223,206839,0,6907677,10205508,17113185,-8547046,55725,-17357563,330452,0,2122402,0,19781736,4932752,-3614294,0,0,986648,0,0,0,0,986648,324330317,11910687,0,336241004,16747678,0,0,16747678,0,0,0,324330317,324330317,26423,2752961119,0.85,63265,0,22,218684,1638926,531506,69134,
"				  PR",N,DIEGO JIMENEZ TORRES,X95,6/30/13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  OH",N,RICKENBACKER INTERNATIONAL,LCK,12/31/13,4/30/14,20420,0,8270,0,0,0,0,28690,1575678,0,585106,715201,0,2369759,0,93541,5339285,5367975,1952687,1353,0,0,1655,87181,31117,173167,2247160,7615135,4071176,483574,2223983,851847,116108,1632920,9379608,6655460,16035068,-8419933,1597,-138556,5477596,0,0,0,11621,5352258,-3067675,0,0,1361251,0,11200,3087882,1222955,5683288,74450,0,0,74450,0,0,-59537,-59537,0,0,0,74450,0,0,0,0,0,0,0,0,0,1708998,132172,
"				  AK",N,QUINHAGAK,AQH,6/30/13,9/3/13,29446,0,0,0,250,0,0,29696,7400,0,0,0,0,0,0,0,7400,37096,0,0,0,0,0,0,0,0,0,37096,25126,4032,3777,0,30413,9143,72491,0,72491,-35395,0,0,0,0,0,0,0,0,-35395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  NY",N,NIAGARA FALLS INTERNATIONAL,IAG,3/31/13,8/14/13,42412,0,0,0,0,0,0,42412,0,0,0,214348,0,0,0,19116,233464,275876,46135,0,11889,38107,30135,1029470,0,142605,1298341,1574217,1747552,354629,618326,3802,106163,1537914,4368386,0,4368386,-2794169,0,0,0,0,0,0,0,0,-2794169,0,0,17163836,1072986,1655,0,46361,18284838,0,3324391,0,3324391,0,0,0,0,0,0,0,2027865,0,0,0,0,0,0,19,237461,0,604986,113283,
"				  WV",N,MERCER COUNTY,BLF,6/30/13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  NJ",N,TETERBORO,TEB,12/31/13,4/30/14,10659093,0,0,0,0,0,0,10659093,0,0,0,0,0,8974272,0,19178198,28152470,38811563,0,0,0,0,0,0,0,89687,89687,38901250,9444845,514698,1625913,10848394,7706,3984054,26425610,1111306,27536916,11364334,0,0,18842185,0,0,0,-8892372,9949813,21314147,0,0,14159208,4121339,10434,2644,21130462,39424087,0,0,0,0,0,0,0,0,0,4865513,0,0,0,0,0,0,0,0,3,9745225,0,12719506,41224,
"				  WA",N,ORCAS ISLAND,ORS,12/31/13,3/20/14,3749,0,14264,0,0,0,5726,23739,1208,0,0,68572,0,1332,0,0,71112,94851,801,600,0,0,0,13266,0,11694,26361,121212,120669,17439,8880,90262,10558,0,247808,0,247808,-126596,1708,0,62866,0,2832,0,208046,275452,148856,403836,404836,101827,0,1832,0,54082,157741,0,0,0,0,0,0,0,0,365000,0,0,0,0,4849,0,0,0,4.9,1,288,0,0,0,
"				  WA",N,BREMERTON NATIONAL,PWT,12/31/13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  AR",S,NORTHWEST ARKANSAS REGIONAL,XNA,12/31/13,6/5/14,1638251,0,2036624,0,0,0,0,3674875,0,0,135579,0,488287,633279,0,0,1257145,4932020,1147378,390202,0,0,2300002,3504341,0,46512,7388435,12320455,2786139,777909,251723,1795690,217439,1133,5830033,8789370,14619403,-2298948,13976,-3581039,23257575,2258755,0,0,811029,22760296,20461348,129911073,150372421,697743,335557,0,0,331625,1364925,54506807,0,0,54506807,0,0,0,0,0,0,0,5236971,2978216,581487,7.3627029E+8,2.22,40810,6.32,45,757132,801255,2047413,273059,
"				  AZ",S,PHOENIX-MESA GATEWAY,IWA,6/30/13,10/31/13,645815,0,187036,0,0,0,0,832851,0,172021,383583,1994906,0,4010946,107638,708824,7377918,8210769,953298,271983,122553,132937,1254665,2759217,0,113512,5608165,13818934,7159280,783165,1518598,3737313,272074,470648,13941078,10573488,24514566,-10695632,108523,-3286456,10560403,3269933,0,0,55483,10707886,12254,134118238,134130493,6801126,6764023,215830,184429,14656627,28622035,0,107828329,20323827,128152156,1778257,0,4031357,5809614,11978989,0,0,0,0,728155,743432198,1.1,162654,1.14,102,381609,938688,737995,332424,
"				  AK",N,NOATAK,WTK,12/31/13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"				  AK",N,LAKE HOOD,LHD,6/30/13,12/20/13,0,0,0,0,605081,0,0,605081,0,0,0,126041,0,0,0,0,126041,731122,64577,0,0,0,0,0,0,7507,72084,803206,4657170,0,0,0,0,0,4657170,0,4657170,-3853964,0,0,0,0,0,0,0,0,-3853964,0,0,777887,0,0,0,0,777887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
